trial,family,mean_mae,worst_mae,mean_mse,mae_A,mae_B,mae_C,mse_A,mse_B,mse_C,best_epoch_A,best_epoch_B,best_epoch_C,window,hidden_dim,num_layers,dropout,kernel_size,scaler,lr,batch_size,weight_decay,lr_scheduler,k_max,p_max,input_noise_sigma
67,tcn,34.909043226850535,46.61826419446617,2094.274622240615,33.21029840976,24.898567076325417,46.61826419446617,2027.9068472405506,939.6934629232082,3315.223556558086,55,20,150,60,128,3,0.27507922402524637,3,minmax_0_1,0.0015828957365349463,16,4.09887274604941e-06,onecycle,10,0.0,0.01
68,tcn,38.43875466141478,56.69392225131502,2758.280750573582,33.61917022566186,25.003171507267435,56.69392225131502,2190.2935415731945,944.013755350252,5140.534954797299,120,30,200,40,64,2,0.17852955691249717,3,standard,0.0005378135068145835,32,6.3538167013022726e-06,onecycle,5,0.25,0.005
69,tcn,27.488261216630537,33.08645044632256,1437.1567474649119,33.08645044632256,22.829566226303577,26.548766977265476,2278.9752112722276,924.3064158843458,1108.1886152381621,135,55,35,15,64,2,0.2252564131845526,3,minmax_0_1,0.0009387510468075106,32,5.044271710578089e-06,onecycle,3,0.25,0.0
70,tcn,26.741375009578963,35.07047697156668,1417.8467610453843,35.07047697156668,25.160634997040034,19.993013060130178,2432.410455301795,995.4651365011075,825.6646913332494,120,20,15,30,64,3,0.2078974653960481,3,minmax_0_1,0.0005833393881157767,32,1.2250663039421657e-05,onecycle,1,0.5,0.0
71,tcn,29.55464861554404,33.51920183189213,1503.3999045990388,33.51920183189213,28.620357246398925,26.524386768341063,2082.0175695243765,1280.77853981901,1147.40360445373,100,35,5,75,64,3,0.27811159964168386,3,minmax_0_1,0.0010422077675580244,64,6.731659455841092e-06,onecycle,10,0.25,0.0
72,tcn,34.7269006710127,53.56467934738845,2546.9728620409483,17.520428977161647,33.09559368848801,53.56467934738845,1073.8943631732025,1866.922897654682,4700.101325294961,200,55,115,30,32,3,0.15344554648065406,5,minmax_0_1,0.0012270676811072154,16,1.60658135152852e-06,onecycle,5,0.0,0.0
73,tcn,25.274769785764317,32.13530141044408,1265.951984283868,32.13530141044408,25.255067865252496,18.433940081596376,2124.9782049405303,1003.6351400145795,669.2426078964942,185,10,20,30,64,3,0.29590776943312336,3,minmax_0_1,0.0008234861301702337,32,1.752899916165162e-06,onecycle,5,0.25,0.0
74,tcn,27.851201336408653,34.912420272901656,1390.3780097417373,34.912420272901656,25.6993349814415,22.941848754882812,2139.221930110413,1023.1449695921283,1008.7671295226709,95,55,10,20,64,3,0.24691101007842775,3,minmax_0_1,0.0006575691696526678,32,1.0788950004543064e-05,onecycle,3,0.25,0.01
75,tcn,33.68069045264274,37.9523326375708,1958.7234352829764,37.9523326375708,25.691835451722145,37.397903268635275,2671.278795187627,931.6616181537581,2273.2298925075443,195,50,90,40,64,2,0.04860511540966875,3,minmax_0_1,0.0006215906561585439,32,6.230747149410983e-06,onecycle,7,0.0,0.0
76,tcn,22.734294118061666,32.39199274115264,1094.1883031224643,32.39199274115264,17.199536782205104,18.611352830827236,2083.6280725969177,564.2182266732434,634.7186100972316,115,20,10,75,64,3,0.3243941661857194,3,minmax_0_1,0.0009623380328663416,16,1.7065337572585463e-06,onecycle,3,0.0,0.0
78,tcn,25.040862178218863,31.053974161930384,1283.7461196301301,31.053974161930384,25.369450087994338,18.699162284731866,2241.922474177561,952.1768539716996,657.1390307411295,65,15,5,60,32,3,0.3835967310493798,3,minmax_0_1,0.001511628656888514,16,3.836047577779073e-05,onecycle,10,0.0,0.0
79,tcn,29.992102964520456,39.9749137391895,1753.552896853286,25.33868361584842,24.662711538523435,39.9749137391895,1852.306647657678,931.610896506782,2476.741146395397,175,55,130,75,128,2,0.3662103239814151,3,minmax_0_1,0.0005541788945578677,16,1.324830257515065e-06,onecycle,10,0.5,0.01
80,tcn,23.116131308774158,28.525736924633385,1154.1488944265627,28.525736924633385,25.686305518448354,15.136351483240723,1918.8583532363348,939.0348174956969,604.5535125476563,60,15,45,40,64,2,0.23854408071678676,3,minmax_0_1,0.0006026298067022681,32,1.5119065557390306e-06,plateau,5,0.25,0.0
82,tcn,23.16166158976654,26.844144824817775,977.3668501918454,26.844144824817775,24.573257134258746,18.0675828102231,1339.8838846330523,944.8830505959684,647.3336153465157,175,5,5,40,64,2,0.2385120860457002,3,minmax_0_1,0.0008179746469701327,64,1.5146362456446267e-06,plateau,5,0.5,0.0
83,tcn,26.635060004914802,31.240483227446674,1337.3498002900433,31.240483227446674,26.3764777366817,22.288219050616025,2135.5445280729764,954.2504400450357,922.2544327521176,160,5,100,40,64,2,0.2906533241775941,5,minmax_0_1,0.0008719397791361189,64,3.0385665097780323e-06,plateau,5,0.25,0.0
